,BOAT,type,WING_CONFIG_unk,DATETIME,entry_bsp,exit_bsp,min_bsp,bsp_loss,entry_twa,exit_twa,entry_rh,exit_rh,entry_rh_stability,max_yaw_rate,two_DB_time,tws,pop_time,turn_min_rh,t_invert,entry_heel,entry_pitch,exit_heel,exit_pitch,turning_time,bsp_at_drop,heel_at_drop,entry_jib_lead,exit_jib_lead,entry_jib_sheet,exit_jib_sheet,max_rudder_angle,vmg_distance,theoretical_target_vmg
7390,NZL,tack,15.0,2023-09-09T12:16:29.600000+00:00,43.46,29.05,24.51,18.95,56.4,82.0,1139.1,268.9,886.9,20.86,9.6,18.0,0.2,11.6,,-0.7282,-0.9272,9.4348,-0.4317999999999999,11.4,42.18,2.6,36.0406,92.8146,5.039999999999999,9.7494,16.0,181.54478514696828,21.060800000000004
7393,NZL,tack,15.0,2023-09-09T12:10:30.600000+00:00,44.42,36.68,31.9,12.520000000000003,64.0,53.7,1206.3,1142.1,1084.3,32.59,4.8,17.0,0.6,529.2,,-0.5413999999999999,-1.2912,-2.3722,-1.2078000000000002,10.6,47.72,1.76,30.32979999999999,51.80200000000001,4.56,6.360799999999999,19.6,231.99952406001452,20.2496
7394,NZL,tack,15.0,2023-09-09T12:11:25.600000+00:00,43.54,38.65,30.1,13.439999999999998,48.8,130.1,1252.0,1116.8,723.3,25.48,5.6,18.0,1.2,118.7,,-1.7662,-1.596,3.409,-0.0002,9.6,42.54,-2.36,27.7992,86.69920000000002,4.35,9.2452,17.3,104.56572453489473,19.870600000000003
7398,NZL,tack,15.0,2023-09-09T12:15:26.200000+00:00,46.62,33.8,30.86,15.759999999999998,66.8,62.5,1164.2,1167.2,698.3,30.25,6.2,17.0,0.8,448.2,,-1.1534,-1.5707999999999998,-1.4882000000000002,-0.255,4.8,45.19,-1.63,7.080799999999999,85.86380000000001,2.61,9.1764,18.8,239.78043006466112,24.2634
7400,NZL,tack,15.0,2023-09-09T12:40:38.600000+00:00,20.86,22.06,11.39,9.47,46.2,69.3,269.7,168.5,659.7,11.6,0.6,18.0,-0.4,-128.7,,11.442800000000002,-0.4412,9.117,-1.079,5.6,16.76,4.55,47.5514,79.237,6.006599999999999,8.6202,18.2,137.53902516405668,21.2446
7402,NZL,tack,15.0,2023-09-09T12:38:03.600000+00:00,31.73,37.53,22.35,9.38,56.4,64.6,1062.5,1300.0,643.6,15.17,3.8,18.0,0.2,-53.4,,2.479,0.7307999999999999,-0.9970000000000002,-0.8857999999999998,6.0,32.97,1.63,36.718,74.21440000000001,5.1,8.2042,11.8,222.0198797251816,22.9192
7403,NZL,tack,15.0,2023-09-09T12:38:58.600000+00:00,36.9,34.92,25.6,11.299999999999995,49.9,77.5,1188.5,1057.7,725.3,24.32,4.0,16.0,1.0,495.8,,-1.6756,-0.4748,0.8146,0.0152,5.0,36.34,2.72,27.006400000000003,78.80799999999999,4.2826,8.5952,16.2,220.98486079132863,18.4226
7404,NZL,tack,15.0,2023-09-09T12:39:51.600000+00:00,37.25,23.11,20.12,17.13,53.9,42.7,1107.5,240.1,996.0,17.85,4.6,17.0,0.2,108.4,,-0.4671999999999999,-0.4257999999999999,10.421799999999998,-0.2502,4.4,36.74,4.45,43.8998,43.8438,5.7,5.693,12.8,229.0605691794512,21.887000000000008
7406,NZL,tack,15.0,2023-09-09T12:43:27.200000+00:00,39.92,31.82,23.62,16.3,50.4,72.2,1193.6,754.0,1028.8,22.9,4.6,18.0,0.6,128.2,,-3.0622,-1.5069999999999997,5.738,0.5891999999999998,3.8,34.18,2.51,30.5514,99.3712,4.5806,10.291200000000002,15.7,231.11018953271773,19.9388
7407,NZL,tack,15.0,2023-09-09T12:45:02.600000+00:00,40.33,41.23,34.63,5.699999999999996,56.6,53.1,1201.1,1214.8,1222.7,41.13,6.2,15.0,0.8,797.8,,-0.944,-1.0036,-2.3824,-1.5463999999999998,4.2,45.61,0.82,31.355,41.50200000000001,4.65,5.5002,22.4,225.0284346604961,20.2838
7408,NZL,tack,15.0,2023-09-09T12:46:01.200000+00:00,39.1,25.52,22.94,16.16,55.0,57.0,1130.5,189.8,758.4,35.96,6.0,18.0,0.6,773.9,,-1.5490000000000002,-1.2378,9.3092,-0.5376000000000001,4.8,45.44,0.78,27.0732,63.9348,4.289999999999999,7.371799999999999,20.5,191.3831812997542,22.8758
7413,NZL,tack,15.0,2023-09-09T11:50:04.600000+00:00,42.01,30.05,24.49,17.52,49.5,38.1,1111.7,513.2,865.1,36.68,7.0,18.0,0.6,379.4,,-1.0084000000000002,-1.3311999999999995,3.4446,-0.1362,4.4,45.45,1.65,37.341,71.1654,5.15,7.977399999999999,19.0,240.52309094114744,19.000200000000003
7414,NZL,tack,15.0,2023-09-09T12:03:24.600000+00:00,23.24,18.21,15.8,7.439999999999998,74.1,126.8,109.3,-86.7,630.2,11.68,15.8,19.0,-0.8,-181.5,,6.549600000000001,-0.2522,1.8588,-0.062,8.0,26.74,0.57,99.9986,99.9898,10.34,10.34,9.1,94.80607864197744,18.5294
7416,NZL,tack,15.0,2023-09-09T10:38:41.600000+00:00,39.24,21.16,19.63,19.610000000000003,42.1,49.2,1016.8,147.7,1461.2,21.21,5.0,14.0,1.0,150.4,,-2.2880000000000003,-1.1063999999999998,10.476,-0.4962,4.2,33.19,3.08,35.2954,34.279,4.98,4.89,18.3,204.0708373329405,15.8444
7417,NZL,tack,15.0,2023-09-09T10:41:00.200000+00:00,34.78,26.02,22.35,12.43,70.2,50.2,1201.7,181.1,794.0,16.28,6.0,13.0,1.8,81.8,,-1.853,-1.0712,9.0966,-0.2614000000000001,5.4,35.41,0.0,56.984800000000014,54.39339999999999,6.787600000000001,6.575399999999999,12.2,210.9835182050583,11.542800000000002
7418,NZL,tack,15.0,2023-09-09T10:58:56.600000+00:00,16.71,21.93,10.71,6.0,49.1,77.5,33.9,51.9,894.6,11.19,2.0,12.0,0.2,-166.2,,6.809000000000001,-0.9330000000000002,7.973199999999999,-1.035,6.8,17.66,5.21,76.98020000000001,99.98739999999998,8.447199999999999,10.34,16.8,128.13604356437213,14.624
7420,NZL,tack,15.0,2023-09-09T11:07:37.600000+00:00,42.65,39.83,31.64,11.009999999999998,68.8,54.8,1335.7,800.7,1540.0,36.4,7.0,15.0,0.4,1048.7,,-1.7320000000000002,-1.389,-0.5398000000000001,-0.3637999999999999,5.8,49.2,1.63,34.9886,93.263,4.949999999999999,9.79,19.5,185.65831376065248,14.2702
7422,NZL,tack,15.0,2023-09-09T11:09:57.600000+00:00,44.04,38.52,34.62,9.420000000000002,74.6,49.4,1278.1,816.6,1615.9,41.14,6.4,14.0,0.6,632.4,,-2.539,-2.0288,-0.0564,-1.1659999999999997,4.6,49.38,1.21,33.837,97.11480000000002,4.86,10.1248,18.8,180.1038046343163,14.7106
7425,NZL,tack,15.0,2023-09-09T11:26:24.200000+00:00,45.74,22.82,22.43,23.31,75.2,68.9,1311.2,139.8,1297.8,21.94,5.6,12.0,0.0,-64.4,,-2.3208,-1.0522,8.250599999999999,-0.0388,4.6,40.86,2.07,38.28739999999999,85.53019999999998,5.23,9.1494,13.5,194.6090388461637,13.261399999999998
7429,NZL,tack,15.0,2023-09-09T11:42:23.200000+00:00,25.05,20.83,12.86,12.19,50.4,33.3,249.5,269.9,656.1,11.44,5.6,18.0,1.2,-118.0,,9.4414,0.0333999999999999,10.1774,0.3272,5.6,21.12,3.53,31.659399999999994,19.5772,4.675799999999999,3.66,16.0,172.44451300292857,23.396200000000004
7430,NZL,tack,15.0,2023-09-09T11:44:11.200000+00:00,36.45,29.53,22.51,13.94,50.0,60.9,1136.4,553.0,876.0,20.66,2.0,15.0,1.8,193.9,,-2.1546000000000003,-0.5581999999999999,6.5356,0.5124000000000001,5.4,33.3,1.37,27.266800000000003,96.7102,4.304200000000001,10.0704,15.0,175.21041273172048,13.878399999999996
7431,NZL,tack,15.0,2023-09-09T11:45:00.200000+00:00,15.27,25.55,9.95,5.32,33.8,66.1,2.6,246.7,884.2,11.78,1.0,15.0,0.4,-187.8,,4.8886,-0.002,9.997800000000002,-0.4306,3.8,13.7,2.42,54.071000000000005,99.998,6.55,10.34,22.3,127.31042145706344,20.8704
7433,NZL,tack,15.0,2023-09-09T11:24:34.200000+00:00,44.48,20.53,14.4,30.08,71.0,52.7,1172.8,205.3,594.6,14.01,9.4,17.0,3.0,-63.6,,0.1788,-1.6227999999999998,10.1588,-0.8029999999999999,5.6,43.66,0.25,100.0,65.0236,10.34,7.461199999999999,11.9,185.3150573615793,20.138
7434,NZL,tack,15.0,2023-09-09T11:48:02.200000+00:00,35.9,22.92,20.29,15.61,40.1,64.1,1232.4,323.1,756.1,18.74,4.2,14.0,1.6,263.6,,-1.0998,-0.7932000000000002,12.799,-0.5684,5.0,34.24,-0.9,42.76299999999999,42.3962,5.601000000000002,5.57,15.5,214.72893634924188,15.900600000000004
7435,SUI,tack,15.0,2023-09-09T12:12:02.600000+00:00,46.97,24.35,21.41,25.56,64.1,80.0,1210.7,195.4,1180.3,30.93,8.4,16.0,0.0,57.0,,-2.01,-2.6068,1.9858,0.6492,5.2,40.55,-0.91,56.7216,85.11099999999999,6.7776,9.1176,19.7,224.17382940935664,14.75
7438,SUI,tack,15.0,2023-09-09T11:52:48.600000+00:00,41.35,30.84,21.35,20.0,32.7,101.5,1081.4,392.3,534.5,23.17,5.0,17.0,0.4,206.4,,-2.9716000000000005,-1.4213999999999998,10.5242,-0.9200000000000004,7.8,43.05,-0.9,54.11120000000001,85.70079999999999,6.559399999999999,9.1182,22.0,176.67987775264334,16.398200000000003
7439,SUI,tack,15.0,2023-09-09T12:05:58.600000+00:00,49.85,22.88,21.07,28.78,69.4,40.5,826.0,53.3,882.7,36.66,5.0,19.0,0.2,-124.2,,1.7774,-1.714,6.7074,-0.3414,10.2,48.01,3.58,100.0,100.0,10.34,10.34,20.6,128.42475477200966,24.27
7441,SUI,tack,15.0,2023-09-09T12:02:44.200000+00:00,15.0,23.73,8.95,6.050000000000001,28.6,55.8,52.2,-3.6,612.7,11.02,10.8,18.0,-0.2,-147.7,,5.8908,-0.5284,4.9146,-1.4138,4.4,21.81,9.01,100.0,94.9248,10.34,9.947,16.6,131.84666397784508,22.995
7445,SUI,tack,15.0,2023-09-09T12:47:22.600000+00:00,45.32,30.24,26.82,18.5,44.0,72.1,1147.2,321.5,1072.2,41.7,6.2,18.0,1.4,140.5,,0.229,-1.6746000000000003,0.9499999999999998,0.282,4.0,45.21,4.75,56.4138,68.58,6.7346,7.7484,20.2,210.30547167734056,21.98540000000001
7446,SUI,tack,15.0,2023-09-09T12:16:41.600000+00:00,40.11,29.42,24.14,15.97,30.6,60.7,1099.8,193.2,1237.8,36.11,7.0,18.0,0.6,-132.6,,-2.1213999999999995,-0.8978000000000003,10.1204,-1.6831999999999996,5.0,39.15,-2.09,51.73239999999999,91.4796,6.3268,9.6386,21.4,237.465345167218,23.387200000000004
7449,SUI,tack,15.0,2023-09-09T12:38:07.200000+00:00,35.99,31.61,24.72,11.270000000000003,48.9,57.0,1210.3,725.6,923.5,35.04,5.2,19.0,1.0,489.4,,-1.6036,-0.8012,-0.2158,0.3298,4.2,38.54,-1.48,56.1974,58.8126,6.713600000000001,6.939600000000001,20.1,219.04304189410524,22.9876
